"Subject.ID","Activities","time.BodyAcc.mean.X","time.BodyAcc.mean.Y","time.BodyAcc.mean.Z","time.BodyAcc.std.X","time.BodyAcc.std.Y","time.BodyAcc.std.Z","time.GravityAcc.mean.X","time.GravityAcc.mean.Y","time.GravityAcc.mean.Z","time.GravityAcc.std.X","time.GravityAcc.std.Y","time.GravityAcc.std.Z","time.BodyAccJerk.mean.X","time.BodyAccJerk.mean.Y","time.BodyAccJerk.mean.Z","time.BodyAccJerk.std.X","time.BodyAccJerk.std.Y","time.BodyAccJerk.std.Z","time.BodyGyro.mean.X","time.BodyGyro.mean.Y","time.BodyGyro.mean.Z","time.BodyGyro.std.X","time.BodyGyro.std.Y","time.BodyGyro.std.Z","time.BodyGyroJerk.mean.X","time.BodyGyroJerk.mean.Y","time.BodyGyroJerk.mean.Z","time.BodyGyroJerk.std.X","time.BodyGyroJerk.std.Y","time.BodyGyroJerk.std.Z","time.BodyAccMag.mean","time.BodyAccMag.std","time.GravityAccMag.mean","time.GravityAccMag.std","time.BodyAccJerkMag.mean","time.BodyAccJerkMag.std","time.BodyGyroMag.mean","time.BodyGyroMag.std","time.BodyGyroJerkMag.mean","time.BodyGyroJerkMag.std","frequency.BodyAcc.mean.X","frequency.BodyAcc.mean.Y","frequency.BodyAcc.mean.Z","frequency.BodyAcc.std.X","frequency.BodyAcc.std.Y","frequency.BodyAcc.std.Z","frequency.BodyAcc.meanFreq.X","frequency.BodyAcc.meanFreq.Y","frequency.BodyAcc.meanFreq.Z","frequency.BodyAccJerk.mean.X","frequency.BodyAccJerk.mean.Y","frequency.BodyAccJerk.mean.Z","frequency.BodyAccJerk.std.X","frequency.BodyAccJerk.std.Y","frequency.BodyAccJerk.std.Z","frequency.BodyAccJerk.meanFreq.X","frequency.BodyAccJerk.meanFreq.Y","frequency.BodyAccJerk.meanFreq.Z","frequency.BodyGyro.mean.X","frequency.BodyGyro.mean.Y","frequency.BodyGyro.mean.Z","frequency.BodyGyro.std.X","frequency.BodyGyro.std.Y","frequency.BodyGyro.std.Z","frequency.BodyGyro.meanFreq.X","frequency.BodyGyro.meanFreq.Y","frequency.BodyGyro.meanFreq.Z","frequency.BodyAccMag.mean","frequency.BodyAccMag.std","frequency.BodyAccMag.meanFreq","frequency.BodyBodyAccJerkMag.mean","frequency.BodyBodyAccJerkMag.std","frequency.BodyBodyAccJerkMag.meanFreq","frequency.BodyBodyGyroMag.mean","frequency.BodyBodyGyroMag.std","frequency.BodyBodyGyroMag.meanFreq","frequency.BodyBodyGyroJerkMag.mean","frequency.BodyBodyGyroJerkMag.std","frequency.BodyBodyGyroJerkMag.meanFreq"
"1","LAYING",5050.88,4966.74,4456.68,5926.38,6029.88,7038.38,908.88,9047.62,7025.28,5129.28,6541.46,6243.1,5895.34,5159.84,4893.84,6288.88,6832.62,7654.7,5344.24,5843.96,5209.76,6951.54,7654.64,6616.28,4932.86,4892.92,4710.74,7502.54,7999.9,7373.92,6111.9,6607.58,6111.9,6607.58,7206.78,6755.1,6323.6,7047.28,7844.62,7459.06,6107.96,6313.4,7074.48,5850.82,6203.48,6882.28,6325.7,6280.66,5916.88,6469.88,7102,7582.3,6421.28,6789.98,7671.68,6650,7123.92,6341.52,7176.7,7867.26,6575.72,6872.6,7518.48,6718.92,6610.96,5036.88,5439.02,6220.6,7054.88,5928.48,6716.34,6693.12,5921.92,6948.14,6972,4795.82,7536.84,7419.6,5692.34
"1","SITTING",4772.68085106383,4300.23404255319,3665.70212765957,7204.44680851064,5535.06382978723,7778.06382978723,3396.44680851064,7559.87234042553,6842.78723404255,6732.78723404255,5775.93617021277,7259.65957446809,6646.08510638298,5903,5456.44680851064,7686.27659574468,7581.63829787234,8577.87234042553,3944.46808510638,4863.44680851064,4842.21276595745,8406.25531914894,8126.51063829787,6881.8085106383,5935.40425531915,4528.95744680851,5913.36170212766,9301.76595744681,8488.95744680851,8491,6739.82978723404,7230.65957446809,6739.82978723404,7230.65957446809,8363.72340425532,7753.25531914894,7154.63829787234,7538.78723404255,8987.25531914894,8650.85106382979,7402.57446808511,6225.17021276596,8167.76595744681,7112.31914893617,5723.78723404255,7691.97872340426,6155.46808510638,6012.12765957447,7222.72340425532,7866.14893617021,7858.46808510638,8500.46808510638,7800.44680851064,7496.40425531915,8594.31914893617,7686.40425531915,7502.10638297872,7143.48936170213,8203.70212765958,8274.63829787234,6935.87234042553,8417.42553191489,8013.97872340426,6946.72340425532,7724.82978723404,6967.04255319149,5709.27659574468,7260.08510638298,7743.40425531915,6161.02127659574,7744.3829787234,7634.1914893617,6445.63829787234,7875.87234042553,7625.59574468085,4932.29787234043,8748.76595744681,8528.8085106383,5790.70212765957
"1","STANDING",5480.83018867925,3698.60377358491,3570.88679245283,8224.01886792453,6065.16981132075,7929,6953.18867924528,3786.30188679245,4528.35849056604,8509.64150943396,7119.94339622641,7436.01886792453,7247.8679245283,6317.41509433962,5291.71698113208,8301.43396226415,7221.90566037736,8799.15094339623,3474.05660377358,5867.09433962264,6309.71698113208,7948.15094339623,8318.62264150943,7839.11320754717,5168.8679245283,5216.22641509434,4941.16981132075,8295.32075471698,8826.67924528302,8092.37735849057,7164.09433962264,7551.92452830189,7164.09433962264,7551.92452830189,8415,7903.69811320755,7769.33962264151,8176,8739.58490566038,8661.09433962264,8312.84905660377,6382.15094339623,8296.47169811321,8175.60377358491,6383.79245283019,7710.39622641509,7792.1320754717,6427.79245283019,6917.7358490566,8456.98113207547,7456.83018867925,8751.33962264151,8446.84905660377,7221.05660377359,8781.64150943396,8225.81132075472,7423.24528301887,7398.69811320755,7849.32075471698,8444.58490566038,7671.7358490566,7921.33962264151,8220.30188679245,7973.81132075472,4217.92452830189,5337.18867924528,6756.69811320755,7469.66037735849,8168.69811320755,6967.07547169811,7841.47169811321,7860.32075471698,7146.60377358491,8380.1320754717,8291.8679245283,4701.64150943396,8681.41509433962,8683.33962264151,7078.09433962264
"1","WALKING",5308.35789473684,6309,6026.62105263158,1421.24210526316,8403.7052631579,1292.03157894737,6192.44210526316,4247.15789473684,1667.84210526316,4612.37894736842,5027.17894736842,4313.14736842105,2397.94736842105,4973.65263157895,4865.63157894737,2154.32631578947,7514.65263157895,1940,6064.03157894737,4780.43157894737,3966.8,2267.62105263158,3806.34736842105,2006.18947368421,5486.32631578947,5750.83157894737,5123.04210526316,494.357894736842,418,1357.04210526316,1629.41052631579,1019.77894736842,1629.41052631579,1019.77894736842,1619.38947368421,3271.89473684211,1607,990.010526315789,567.378947368421,579.842105263158,1029.09473684211,7508.21052631579,1636.4,1747.07368421053,7523.26315789474,1387.89473684211,2505.32631578947,6561.75789473684,5188.87368421053,1289.56842105263,4551.56842105263,1905.86315789474,1907.21052631579,8343.51578947368,1932.4,2248.22105263158,3828.4,3412.11578947368,1696.71578947368,2641.08421052632,1274.05263157895,2357.06315789474,4701.02105263158,2421.45263157895,6454.81052631579,4571.55789473684,5171.22105263158,1736.69473684211,2003.29473684211,6127.77894736842,3426.88421052632,2823.45263157895,4548.92631578947,1132.23157894737,1025.08421052632,7810.26315789474,478.347368421053,611.042105263158,5947.12631578947
"1","WALKING_DOWNSTAIRS",5367.14285714286,6911.24489795918,6574.85714285714,6794.22448979592,4872.69387755102,1312.14285714286,5948.08163265306,3944.08163265306,2461.63265306122,2304.18367346939,2640.89795918367,1846.5306122449,3179.67346938776,4541.5306122449,5501.85714285714,5084.38775510204,3025.14285714286,884.122448979592,6434.73469387755,5055.24489795918,3689.28571428571,2486.81632653061,2236.24489795918,2576.44897959184,5960.67346938776,6194.34693877551,5667.61224489796,2339.40816326531,1113.71428571429,656.224489795918,6414.91836734694,6494.18367346939,6414.91836734694,6494.18367346939,2439.16326530612,4665.28571428571,3810.57142857143,2446.14285714286,560.367346938776,1049.69387755102,6815.10204081633,5131.97959183673,1426.79591836735,6496.95918367347,3425.32653061224,1489.16326530612,4316.89795918367,6230.65306122449,7174.79591836735,4807.59183673469,2536.63265306122,1049.87755102041,3252.5306122449,3573.12244897959,963.69387755102,1794.95918367347,3510.08163265306,5696.71428571429,2318.42857142857,4450.91836734694,5128.24489795918,2651.75510204082,987.938775510204,760.632653061224,4633.85714285714,6994.36734693878,3491.89795918367,8526.14285714286,872.510204081633,6045.02040816327,6032.51020408163,3067.61224489796,4746.16326530612,2512.04081632653,1821.16326530612,8251.10204081633,1215.5306122449,955.265306122449,6357.30612244898
"1","WALKING_UPSTAIRS",3808.2641509434,6261.41509433962,5918.30188679245,2100.43396226415,5632.90566037736,4870.11320754717,4057.09433962264,5448.11320754717,3189.16981132075,2911.56603773585,3956.75471698113,2174.7358490566,3434.22641509434,4581.01886792453,4380.81132075472,2661.45283018868,2078.39622641509,3779.33962264151,6890.96226415094,4825.28301886792,2867.71698113208,2966.03773584906,5699.79245283019,3309.98113207547,4977.30188679245,6297.50943396226,5911.45283018868,3529.71698113208,2126.83018867925,3335.35849056604,1464.75471698113,1819.96226415094,1464.75471698113,1819.96226415094,3129.05660377358,2740.84905660377,2977.49056603774,2896.01886792453,2902.41509433962,2774.7358490566,2474.60377358491,1864,2639.22641509434,1906.98113207547,6721.16981132075,9028.92452830189,4807.1320754717,3162.75471698113,3316.30188679245,2926.77358490566,2469.37735849057,3752.81132075472,2785.62264150943,2017.98113207547,3741.11320754717,3184.96226415094,5357.7358490566,4915.39622641509,3002.32075471698,982.509433962264,2942.50943396226,2915.22641509434,9291.52830188679,3529.56603773585,4394.75471698113,5274.58490566038,4319.35849056604,1888.81132075472,2206.67924528302,2727.22641509434,2512.49056603774,2956.03773584906,4919.96226415094,1265.75471698113,2534.32075471698,2772.54716981132,2643.45283018868,2964.05660377358,5451.01886792453
"10","LAYING",5073.31034482759,3597.46551724138,3093.29310344828,6045.6724137931,5647.72413793103,7234.81034482759,1197.86206896552,7803.79310344828,6129.8275862069,6075.6724137931,7648.63793103448,7912.03448275862,7014.53448275862,5847.53448275862,5060.13793103448,5985.1724137931,6515.44827586207,7297.68965517241,4588.89655172414,5153.48275862069,7280.37931034483,7392.55172413793,6644.39655172414,7586.20689655172,4852.79310344828,4827.12068965517,4906.56896551724,6887.62068965517,6273.31034482759,7378.58620689655,6208.01724137931,6651.62068965517,6208.01724137931,6651.62068965517,6574.65517241379,6146.6724137931,6603.72413793103,6764.18965517241,6229.1724137931,6057.63793103448,6101.37931034483,5917.24137931035,7412.89655172414,5994.6724137931,6072.84482758621,7439.60344827586,5331.53448275862,6768.98275862069,6883.31034482759,6221.08620689655,6770.27586206897,7276.27586206897,6051.53448275862,6488.5,7277.27586206897,6381.93103448276,6941.05172413793,7170.46551724138,7034.13793103448,6614.70689655172,7395.53448275862,7473.24137931035,6640.10344827586,7741.94827586207,6384.48275862069,6657.18965517241,6247.53448275862,6285.93103448276,7402.24137931035,6634.55172413793,6090.96551724138,6192.84482758621,5448.86206896552,6615.96551724138,7141.44827586207,7106.75862068965,6035.18965517241,6157.46551724138,6072.60344827586
"10","SITTING",5088.55555555556,3996.12962962963,2939.72222222222,7224.72222222222,5857.96296296296,7798.05555555556,4175.55555555556,5827.09259259259,6623.12962962963,7342.87037037037,6719.57407407407,8102.40740740741,6949.85185185185,5973.48148148148,5139.77777777778,7670.25925925926,7451.2962962963,8275.16666666667,3254.12962962963,5149.96296296296,5929.83333333333,8813.07407407407,8323.38888888889,7003.92592592593,6574.74074074074,4545,5677.11111111111,8605.31481481482,8655.42592592593,8382.59259259259,6975.48148148148,7184.90740740741,6975.48148148148,7184.90740740741,8135.59259259259,7615.31481481481,7476.87037037037,7988.09259259259,8835.75925925926,8694.87037037037,7430.35185185185,6304.88888888889,8110.27777777778,7111.57407407407,6135,7747.94444444444,6138.88888888889,5828.90740740741,6962.94444444444,7836.75925925926,7663.5,8164.14814814815,7816.90740740741,7473.53703703704,8373.64814814815,7029.61111111111,7268.2037037037,7392.2037037037,8544.96296296296,8432.75925925926,7168.01851851852,8855.88888888889,8236.24074074074,7036.81481481481,7884.64814814815,7141.7962962963,4908.72222222222,6989.85185185185,7756.53703703704,6499.27777777778,7572.5,7393.05555555556,6429.14814814815,8191.38888888889,8108.62962962963,5055.62962962963,8707.05555555555,8734.44444444445,6810.7962962963
"10","STANDING",5326.31818181818,4789.63636363636,4655.5,6104.02272727273,4157.95454545455,6407.54545454545,7777.90909090909,5106.20454545455,6768.27272727273,7756.38636363636,5856.79545454545,6029.47727272727,6957.75,5962.81818181818,4861.02272727273,5604.65909090909,5009.95454545455,7003.09090909091,4014,4859.63636363636,5976.22727272727,5816.61363636364,6559.63636363636,6262.77272727273,3878.02272727273,5134.31818181818,4707.02272727273,5889.11363636364,6752.25,6033.25,5285.81818181818,5693.02272727273,5285.81818181818,5693.02272727273,5896.65909090909,5637.5,5862.15909090909,6123.52272727273,6272.59090909091,6342.88636363636,5990.93181818182,4402.31818181818,6691.72727272727,6194.70454545455,4532.40909090909,6406,7872.72727272727,4517.34090909091,5622.59090909091,5800.09090909091,5268.88636363636,6938.15909090909,5725.20454545455,4998.45454545455,7038.45454545455,7300.25,4653.97727272727,5931.70454545455,5663.22727272727,6627.15909090909,6045.38636363636,5817.15909090909,6487.09090909091,6438.81818181818,4824.84090909091,4619.27272727273,4301.52272727273,5460.27272727273,6403,5253.65909090909,5532.70454545455,5822.38636363636,5632.36363636364,6262.27272727273,6283.38636363636,3849.88636363636,6343.31818181818,6415,3709.15909090909
"10","WALKING",5246.33962264151,5993.81132075472,6077.92452830189,1669.18867924528,5046.54716981132,2612.30188679245,8722.60377358491,5366.35849056604,7846.81132075472,4385.83018867925,5054.58490566038,4969.77358490566,2754.37735849057,4540.94339622641,5159.54716981132,3867.32075471698,6543.30188679245,2023.69811320755,7017.15094339623,4935.49056603774,3801.47169811321,1699.66037735849,632.169811320755,823.962264150943,5248.96226415094,5525.64150943396,6060.39622641509,1255.2641509434,1360.71698113208,885.358490566038,1462.22641509434,1519.7358490566,1462.22641509434,1519.7358490566,1596.37735849057,6823.84905660377,853.132075471698,2039.1320754717,1346.15094339623,1358.83018867925,2419.11320754717,5714.60377358491,2426.2641509434,1771.96226415094,2950.45283018868,2808.39622641509,2831.62264150943,7276.03773584906,7091.41509433962,3073.11320754717,5669.32075471698,1860.83018867925,3559.8679245283,5888.90566037736,2159.37735849057,2720.88679245283,3145.94339622642,6280.56603773585,1112.64150943396,1119.81132075472,2746.7358490566,1809.83018867925,847.584905660377,873.415094339623,3914.09433962264,4535.07547169811,3001.75471698113,2986.67924528302,1744.45283018868,6516.62264150943,6776.49056603774,6969.09433962264,3100.37735849057,1804.16981132075,2525.7358490566,7497.16981132075,1446.28301886792,1326.15094339623,4012.56603773585
